gender,country,city,age,brand,department,category,target
M,France,Paris,21.0,Lucky Brand;American Essentials;Van Heusen;Ecosox;Levi's,Men;Men;Men;Men;Men,Sweaters;Sleep & Lounge;Tops & Tees;Socks;Tops & Tees,0
F,China,Jiangmen,69.0,Mountain Hardwear,Women,Outerwear & Coats,1
M,Brasil,Pará de Minas,63.0,Underworks,Men,Underwear,0
F,Spain,Son Vida,36.0,BCBGeneration,Women,Shorts,0
M,United States,Watertown,24.0,Silver Jeans;Fun Boxers,Men;Men,Jeans;Sleep & Lounge,0
F,China,Changsha,26.0,DREAMS,Women,Sleep & Lounge,0
F,United States,Green Bay,30.0,High Style;Woman Within;Dakota,Women;Women;Women,Leggings;Tops & Tees;Accessories,0
F,China,Nantong,69.0,Hot Chillys,Women,Active,0
F,Brasil,Rosário do Sul,60.0,Barely There;Kensie,Women;Women,Intimates;Dresses,0
F,United Kingdom,Swindon,18.0,Casual Moments,Women,Sleep & Lounge,0
F,Brasil,Guaramirim,52.0,MAXSTUDIO;Bali,Women;Women,Sweaters;Intimates,0
M,Brasil,Colinas do Tocantins,61.0,Kenneth Cole;Wrangler;Darn Tough;Carhartt;Emporio Armani,Men;Men;Men;Men;Men,Jeans;Pants;Active;Active;Underwear,0
F,France,Frencq,53.0,Luxury Divas;Alki'i;Flexees;Samanthas Style Shoppe,Women;Women;Women;Women,Leggings;Sweaters;Intimates;Tops & Tees,0
F,United States,Sandusky,37.0,Allegra K;Ever-Pretty,Women;Women,Fashion Hoodies & Sweatshirts;Dresses,0
M,China,Beijing,54.0,Knoles&Carter,Men,Outerwear & Coats,0
F,Brasil,Santa Cruz do Capibaribe,58.0,Prom21;Bslingerie;Laura;Bali;Lilo Maternity,Women;Women;Women;Women;Women,Dresses;Intimates;Intimates;Intimates;Maternity,0
M,China,Beijing,63.0,Zoot,Men,Socks,0
M,United Kingdom,Newtownards,41.0,DC,Men,Fashion Hoodies & Sweatshirts,1
M,United States,North Bethesda,18.0,Altamont;Skechers;O'Neill;HUGO BOSS;PUMA;RU Sleeping,Men;Men;Men;Men;Men;Men,Shorts;Accessories;Swim;Socks;Tops & Tees;Sleep & Lounge,0
F,United Kingdom,Isleworth,13.0,HUE;Columbia;American Apparel;Carhartt;boxed-gifts;Allegra K,Women;Women;Women;Women;Women;Women,Socks & Hosiery;Active;Tops & Tees;Accessories;Leggings;Jumpsuits & Rompers,0
F,United States,Carrollton,29.0,L.A. Idol Jeans,Women,Jeans,0
F,China,Yichang,69.0,Living Dead Souls;Levi's,Women;Women,Fashion Hoodies & Sweatshirts;Shorts,0
M,China,Heze,15.0,Williams Cashmere;A:X Armani Exchange,Men;Men,Sweaters;Swim,0
F,Brasil,Olímpia,53.0,BB,Women,Swim,0
M,Brasil,Pesqueira,48.0,Tommy Hilfiger;Tommy Hilfiger;Knocker;Hanes,Men;Men;Men;Men,Sweaters;Sweaters;Socks;Underwear,0
M,United States,Houston,60.0,Carhartt;Tommy Hilfiger;Faconnable;Volcom,Men;Men;Men;Men,Outerwear & Coats;Outerwear & Coats;Outerwear & Coats;Shorts,1
M,United States,New York,37.0,Ralph Lauren,Men,Jeans,1
F,China,Harbin,48.0,Sutton Studio;Levi's;Juicy Couture,Women;Women;Women,Blazers & Jackets;Jeans;Fashion Hoodies & Sweatshirts,0
F,United Kingdom,Hatfield,13.0,Nantucket Brand;Alki'i,Women;Women,Shorts;Dresses,1
F,China,Shanghai,48.0,Bali;DREAMS;Under Moments;Speedo,Women;Women;Women;Women,Plus;Sleep & Lounge;Intimates;Swim,0
F,China,Shanghai,41.0,Allegra K;Betsey Johnson;Bali;Anna-Kaci;Hanky Panky,Women;Women;Women;Women;Women,Jumpsuits & Rompers;Socks & Hosiery;Plus;Intimates;Maternity,0
M,China,Harbin,48.0,C-IN2,Men,Underwear,0
F,United Kingdom,Dagenham,12.0,WARMEN;Echomerx;Tops and Bottoms HS;Sweet Mommy;Bali,Women;Women;Women;Women;Women,Accessories;Plus;Sweaters;Maternity;Intimates,0
M,Brasil,Itapema,25.0,Quiksilver,Men,Active,0
M,United States,Tupelo,35.0,Kanu Surf;Dickies,Men;Men,Swim;Pants,0
F,China,Shenzhen,46.0,7 For All Mankind;Woolrich,Women;Women,Jeans;Fashion Hoodies & Sweatshirts,0
M,China,Shanghai,12.0,DC;Louis Raphael;K. Bell;Emporio Armani;Comfort Zone,Men;Men;Men;Men;Men,Swim;Pants;Socks;Underwear;Sleep & Lounge,0
M,Brasil,São Paulo,40.0,Champion;Icebreaker,Men;Men,Active;Active,0
M,China,Pingdingshan,27.0,Joe's Jeans,Men,Jeans,0
F,Japan,Eight Wangzi City,33.0,Mountain Hardwear;Lilly Pulitzer,Women;Women,Outerwear & Coats;Shorts,0
F,United Kingdom,Telford,40.0,adidas;Seafolly,Women;Women,Active;Swim,0
M,China,Jinan,53.0,Wool Overs,Men,Sweaters,0
F,China,Ningbo,16.0,Allegra K;dollhouse,Women;Women,Tops & Tees;Outerwear & Coats,0
F,Spain,Barcelona,46.0,Marina West;Kirra;Bali,Women;Women;Women,Swim;Sweaters;Intimates,0
M,Japan,Eight Wangzi City,55.0,Ducati;Silver Jeans,Men;Men,Fashion Hoodies & Sweatshirts;Jeans,0
F,China,Harbin,45.0,BCBGMAXAZRIA;Marmot;Ilusion,Women;Women;Women,Blazers & Jackets;Active;Intimates,0
F,United States,San Antonio,40.0,Laura,Women,Intimates,1
M,Japan,Kiryu-shi,66.0,Fairway & Greene;Allegra K;Adventure Time,Men;Men;Men,Outerwear & Coats;Pants;Tops & Tees,0
M,Brasil,São Luís,46.0,Concitor;Tri-Mountain;Victorinox,Men;Men;Men,Pants;Tops & Tees;Sweaters,0
F,Belgium,La Louvière,48.0,Allegra K;Fox,Women;Women,Blazers & Jackets;Fashion Hoodies & Sweatshirts,1
M,China,Nanjing,63.0,Tommy Hilfiger,Men,Outerwear & Coats,0
